study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB12201	SAMEA3715918	ERS1023067	ERX1267864	ERR1194551	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194551/ERR1194551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194551/ERR1194551_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194551/ERR1194551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194551/ERR1194551_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-3_S101_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-3_S101_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-3_S101_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-3_S101_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/001/ERR1194551	ftp.sra.ebi.ac.uk/vol1/err/ERR119/001/ERR1194551		
PRJEB12201	SAMEA3715919	ERS1023068	ERX1267865	ERR1194552	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194552/ERR1194552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194552/ERR1194552_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194552/ERR1194552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194552/ERR1194552_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-4_S102_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-4_S102_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-4_S102_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-4_S102_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/002/ERR1194552	ftp.sra.ebi.ac.uk/vol1/err/ERR119/002/ERR1194552		
PRJEB12201	SAMEA3715920	ERS1023069	ERX1267866	ERR1194553	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194553/ERR1194553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194553/ERR1194553_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194553/ERR1194553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194553/ERR1194553_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-5_S103_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-5_S103_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-5_S103_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-5_S103_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/003/ERR1194553	ftp.sra.ebi.ac.uk/vol1/err/ERR119/003/ERR1194553		
PRJEB12201	SAMEA3715921	ERS1023070	ERX1267867	ERR1194554	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194554/ERR1194554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194554/ERR1194554_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194554/ERR1194554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194554/ERR1194554_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-1_S104_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-1_S104_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-1_S104_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-1_S104_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/004/ERR1194554	ftp.sra.ebi.ac.uk/vol1/err/ERR119/004/ERR1194554		
PRJEB12201	SAMEA3715922	ERS1023071	ERX1267868	ERR1194555	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194555/ERR1194555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194555/ERR1194555_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194555/ERR1194555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194555/ERR1194555_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-2_S105_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-2_S105_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-2_S105_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-2_S105_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/005/ERR1194555	ftp.sra.ebi.ac.uk/vol1/err/ERR119/005/ERR1194555		
PRJEB12201	SAMEA3715923	ERS1023072	ERX1267869	ERR1194556	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194556/ERR1194556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194556/ERR1194556_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194556/ERR1194556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194556/ERR1194556_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-3_S106_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-3_S106_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-3_S106_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-3_S106_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/006/ERR1194556	ftp.sra.ebi.ac.uk/vol1/err/ERR119/006/ERR1194556		
PRJEB12201	SAMEA3715924	ERS1023073	ERX1267870	ERR1194557	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194557/ERR1194557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194557/ERR1194557_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194557/ERR1194557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194557/ERR1194557_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-4_S107_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-4_S107_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-4_S107_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-4_S107_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/007/ERR1194557	ftp.sra.ebi.ac.uk/vol1/err/ERR119/007/ERR1194557		
PRJEB12201	SAMEA3715925	ERS1023074	ERX1267871	ERR1194558	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194558/ERR1194558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194558/ERR1194558_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194558/ERR1194558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194558/ERR1194558_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-5_S108_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-5_S108_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-5_S108_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-S-5_S108_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/008/ERR1194558	ftp.sra.ebi.ac.uk/vol1/err/ERR119/008/ERR1194558		
PRJEB12201	SAMEA3715926	ERS1023075	ERX1267872	ERR1194559	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194559/ERR1194559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194559/ERR1194559_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194559/ERR1194559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194559/ERR1194559_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-1_S109_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-1_S109_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-1_S109_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-1_S109_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/009/ERR1194559	ftp.sra.ebi.ac.uk/vol1/err/ERR119/009/ERR1194559		
PRJEB12201	SAMEA3715927	ERS1023076	ERX1267873	ERR1194560	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194560/ERR1194560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194560/ERR1194560_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194560/ERR1194560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194560/ERR1194560_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-2_S110_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-2_S110_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-2_S110_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-2_S110_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/000/ERR1194560	ftp.sra.ebi.ac.uk/vol1/err/ERR119/000/ERR1194560		
PRJEB12201	SAMEA3715928	ERS1023077	ERX1267874	ERR1194561	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194561/ERR1194561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194561/ERR1194561_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194561/ERR1194561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194561/ERR1194561_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-3_S111_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-3_S111_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-3_S111_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-3_S111_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/001/ERR1194561	ftp.sra.ebi.ac.uk/vol1/err/ERR119/001/ERR1194561		
PRJEB12201	SAMEA3715929	ERS1023078	ERX1267875	ERR1194562	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194562/ERR1194562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194562/ERR1194562_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194562/ERR1194562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194562/ERR1194562_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-4_S112_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-4_S112_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-4_S112_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-4_S112_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/002/ERR1194562	ftp.sra.ebi.ac.uk/vol1/err/ERR119/002/ERR1194562		
PRJEB12201	SAMEA3715930	ERS1023079	ERX1267876	ERR1194563	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194563/ERR1194563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194563/ERR1194563_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194563/ERR1194563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194563/ERR1194563_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-5_S113_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-5_S113_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-5_S113_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-S-5_S113_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/003/ERR1194563	ftp.sra.ebi.ac.uk/vol1/err/ERR119/003/ERR1194563		
PRJEB12201	SAMEA3715931	ERS1023080	ERX1267877	ERR1194564	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194564/ERR1194564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194564/ERR1194564_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194564/ERR1194564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194564/ERR1194564_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-1_S114_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-1_S114_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-1_S114_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-1_S114_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/004/ERR1194564	ftp.sra.ebi.ac.uk/vol1/err/ERR119/004/ERR1194564		
PRJEB12201	SAMEA3715932	ERS1023081	ERX1267878	ERR1194565	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194565/ERR1194565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194565/ERR1194565_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194565/ERR1194565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194565/ERR1194565_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-2_S115_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-2_S115_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-2_S115_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-2_S115_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/005/ERR1194565	ftp.sra.ebi.ac.uk/vol1/err/ERR119/005/ERR1194565		
PRJEB12201	SAMEA3715933	ERS1023082	ERX1267879	ERR1194566	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194566/ERR1194566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194566/ERR1194566_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194566/ERR1194566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194566/ERR1194566_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-3_S116_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-3_S116_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-3_S116_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-3_S116_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/006/ERR1194566	ftp.sra.ebi.ac.uk/vol1/err/ERR119/006/ERR1194566		
PRJEB12201	SAMEA3715934	ERS1023083	ERX1267880	ERR1194567	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194567/ERR1194567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194567/ERR1194567_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194567/ERR1194567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194567/ERR1194567_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-4_S117_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-4_S117_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-4_S117_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-4_S117_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/007/ERR1194567	ftp.sra.ebi.ac.uk/vol1/err/ERR119/007/ERR1194567		
PRJEB12201	SAMEA3715935	ERS1023084	ERX1267881	ERR1194568	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194568/ERR1194568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194568/ERR1194568_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194568/ERR1194568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194568/ERR1194568_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-5_S118_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-5_S118_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-5_S118_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1303-W-5_S118_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/008/ERR1194568	ftp.sra.ebi.ac.uk/vol1/err/ERR119/008/ERR1194568		
PRJEB12201	SAMEA3715936	ERS1023085	ERX1267882	ERR1194569	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194569/ERR1194569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194569/ERR1194569_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194569/ERR1194569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194569/ERR1194569_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-1_S119_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-1_S119_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-1_S119_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-1_S119_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/009/ERR1194569	ftp.sra.ebi.ac.uk/vol1/err/ERR119/009/ERR1194569		
PRJEB12201	SAMEA3715937	ERS1023086	ERX1267883	ERR1194570	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194570/ERR1194570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194570/ERR1194570_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194570/ERR1194570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194570/ERR1194570_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-2_S120_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-2_S120_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-2_S120_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-2_S120_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/000/ERR1194570	ftp.sra.ebi.ac.uk/vol1/err/ERR119/000/ERR1194570		
PRJEB12201	SAMEA3715938	ERS1023087	ERX1267884	ERR1194571	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194571/ERR1194571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194571/ERR1194571_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194571/ERR1194571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194571/ERR1194571_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-3_S121_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-3_S121_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-3_S121_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-3_S121_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/001/ERR1194571	ftp.sra.ebi.ac.uk/vol1/err/ERR119/001/ERR1194571		
PRJEB12201	SAMEA3715939	ERS1023088	ERX1267885	ERR1194572	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194572/ERR1194572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194572/ERR1194572_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194572/ERR1194572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194572/ERR1194572_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-4_S122_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-4_S122_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-4_S122_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1304-W-4_S122_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/002/ERR1194572	ftp.sra.ebi.ac.uk/vol1/err/ERR119/002/ERR1194572		
