study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB12201	SAMEA3715908	ERS1023057	ERX1267854	ERR1194541	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194541/ERR1194541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194541/ERR1194541_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194541/ERR1194541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194541/ERR1194541_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-W-3_S91_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-W-3_S91_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-W-3_S91_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-W-3_S91_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/001/ERR1194541	ftp.sra.ebi.ac.uk/vol1/err/ERR119/001/ERR1194541		
PRJEB12201	SAMEA3715909	ERS1023058	ERX1267855	ERR1194542	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194542/ERR1194542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194542/ERR1194542_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194542/ERR1194542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194542/ERR1194542_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-W-4_S92_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-W-4_S92_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-W-4_S92_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-W-4_S92_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/002/ERR1194542	ftp.sra.ebi.ac.uk/vol1/err/ERR119/002/ERR1194542		
PRJEB12201	SAMEA3715910	ERS1023059	ERX1267856	ERR1194543	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194543/ERR1194543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194543/ERR1194543_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194543/ERR1194543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194543/ERR1194543_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-W-5_S93_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-W-5_S93_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-W-5_S93_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-W-5_S93_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/003/ERR1194543	ftp.sra.ebi.ac.uk/vol1/err/ERR119/003/ERR1194543		
PRJEB12201	SAMEA3715911	ERS1023060	ERX1267857	ERR1194544	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194544/ERR1194544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194544/ERR1194544_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194544/ERR1194544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194544/ERR1194544_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-1_S94_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-1_S94_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-1_S94_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-1_S94_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/004/ERR1194544	ftp.sra.ebi.ac.uk/vol1/err/ERR119/004/ERR1194544		
PRJEB12201	SAMEA3715912	ERS1023061	ERX1267858	ERR1194545	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194545/ERR1194545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194545/ERR1194545_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194545/ERR1194545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194545/ERR1194545_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-2_S95_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-2_S95_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-2_S95_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-2_S95_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/005/ERR1194545	ftp.sra.ebi.ac.uk/vol1/err/ERR119/005/ERR1194545		
PRJEB12201	SAMEA3715913	ERS1023062	ERX1267859	ERR1194546	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194546/ERR1194546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194546/ERR1194546_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194546/ERR1194546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194546/ERR1194546_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-3_S96_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-3_S96_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-3_S96_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-3_S96_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/006/ERR1194546	ftp.sra.ebi.ac.uk/vol1/err/ERR119/006/ERR1194546		
PRJEB12201	SAMEA3715914	ERS1023063	ERX1267860	ERR1194547	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194547/ERR1194547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194547/ERR1194547_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194547/ERR1194547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194547/ERR1194547_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-4_S97_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-4_S97_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-4_S97_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-4_S97_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/007/ERR1194547	ftp.sra.ebi.ac.uk/vol1/err/ERR119/007/ERR1194547		
PRJEB12201	SAMEA3715915	ERS1023064	ERX1267861	ERR1194548	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194548/ERR1194548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194548/ERR1194548_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194548/ERR1194548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194548/ERR1194548_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-5_S98_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-5_S98_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-5_S98_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1104-S-5_S98_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/008/ERR1194548	ftp.sra.ebi.ac.uk/vol1/err/ERR119/008/ERR1194548		
PRJEB12201	SAMEA3715916	ERS1023065	ERX1267862	ERR1194549	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194549/ERR1194549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194549/ERR1194549_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194549/ERR1194549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194549/ERR1194549_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-1_S99_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-1_S99_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-1_S99_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-1_S99_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/009/ERR1194549	ftp.sra.ebi.ac.uk/vol1/err/ERR119/009/ERR1194549		
PRJEB12201	SAMEA3715917	ERS1023066	ERX1267863	ERR1194550	10090	Mus musculus	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194550/ERR1194550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194550/ERR1194550_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194550/ERR1194550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194550/ERR1194550_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-2_S100_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-2_S100_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-2_S100_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/M-1202-W-2_S100_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/000/ERR1194550	ftp.sra.ebi.ac.uk/vol1/err/ERR119/000/ERR1194550		
