"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV_171"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Brucellaceae"	NA	NA
"ASV_172"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	NA	NA	NA
"ASV_173"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylocystaceae"	NA	NA
"ASV_174"	"k__Bacteria"	"p__Tenericutes"	"c__Mollicutes"	"o__Entomoplasmatales"	"f__Entomoplasmataceae"	"g__Entomoplasma"	NA
"ASV_175"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Porphyromonadaceae"	"g__Dysgonomonas"	NA
"ASV_176"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	NA	NA
"ASV_177"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pasteurellales"	NA	NA	NA
"ASV_178"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	NA
"ASV_179"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	NA	NA	NA
"ASV_180"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pasteurellales"	"f__Pasteurellaceae"	"g__Aggregatibacter"	NA
"ASV_181"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Enterococcaceae"	"g__Vagococcus"	NA
"ASV_182"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__perfringens"
"ASV_183"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylocystaceae"	NA	NA
"ASV_184"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Streptomycetaceae"	NA	NA
"ASV_185"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	"g__Zea"	"s__luxurians"
"ASV_186"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Beijerinckiaceae"	"g__Methylovirgula"	"s__ligni"
"ASV_187"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylocystaceae"	NA	NA
"ASV_188"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	NA	NA
"ASV_189"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	NA
"ASV_190"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__zeae"
"ASV_191"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Mycobacteriaceae"	"g__Mycobacterium"	"s__celatum"
"ASV_192"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	NA	NA	NA
"ASV_193"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Clostridium"	"s__citroniae"
"ASV_194"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	NA	NA	NA
"ASV_195"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	NA
"ASV_196"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Bradyrhizobiaceae"	"g__Bradyrhizobium"	NA
"ASV_197"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	NA	NA	NA
"ASV_198"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__perfringens"
"ASV_199"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__ovatus"
"ASV_200"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Thermomonosporaceae"	"g__Actinoallomurus"	NA
"ASV_201"	"k__Bacteria"	"p__Chloroflexi"	"c__Anaerolineae"	"o__Anaerolineales"	"f__Anaerolinaceae"	"g__SHD-231"	NA
"ASV_202"	"k__Bacteria"	"p__Firmicutes"	"c__Erysipelotrichi"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__[Eubacterium]"	"s__dolichum"
"ASV_203"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Paenibacillaceae"	"g__Paenibacillus"	"s__amylolyticus"
"ASV_204"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	NA
"ASV_205"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	NA	NA
"ASV_206"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	NA
"ASV_207"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Spartobacteria]"	"o__[Chthoniobacterales]"	"f__[Chthoniobacteraceae]"	"g__Candidatus Xiphinematobacter"	NA
"ASV_208"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	NA
"ASV_209"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Veillonellaceae"	"g__Veillonella"	NA
"ASV_210"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Streptophyta"	NA	NA	NA
"ASV_211"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	NA
"ASV_212"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Staphylococcaceae"	"g__Staphylococcus"	"s__sciuri"
"ASV_213"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	"g__Serratia"	NA
"ASV_214"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Burkholderia"	NA
"ASV_215"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Porphyromonadaceae"	NA	NA
"ASV_216"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__[Tissierellaceae]"	"g__Helcococcus"	NA
"ASV_217"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Blautia"	"s__producta"
"ASV_218"	"k__Bacteria"	"p__Bacteroidetes"	"c__Flavobacteriia"	"o__Flavobacteriales"	"f__[Weeksellaceae]"	"g__Chryseobacterium"	NA
"ASV_219"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__Salinibacterium"	NA
"ASV_220"	"k__Bacteria"	"p__Proteobacteria"	NA	NA	NA	NA	NA
"ASV_221"	"k__Bacteria"	"p__Tenericutes"	"c__Mollicutes"	"o__Entomoplasmatales"	NA	NA	NA
"ASV_222"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Desulfovibrionales"	"f__Desulfovibrionaceae"	NA	NA
"ASV_223"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Chlorophyta"	NA	NA	NA
"ASV_224"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Robinsoniella"	"s__peoriensis"
"ASV_225"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__Conexibacteraceae"	"g__Conexibacter"	NA
"ASV_226"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	NA
"ASV_227"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__Rickettsiaceae"	"g__Wolbachia"	NA
"ASV_228"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	NA	NA	NA
"ASV_229"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__butyricum"
"ASV_230"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_231"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__perfringens"
"ASV_232"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	NA
"ASV_233"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Frankiaceae"	NA	NA
"ASV_234"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	"g__Candidatus Phlomobacter"	NA
"ASV_235"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Porphyromonadaceae"	"g__Porphyromonas"	NA
"ASV_236"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__Conexibacteraceae"	NA	NA
"ASV_237"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Burkholderia"	NA
"ASV_238"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_239"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Bradyrhizobiaceae"	"g__Bradyrhizobium"	NA
"ASV_240"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Paenibacillaceae"	"g__Paenibacillus"	NA
"ASV_241"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Chlorophyta"	"f__Trebouxiophyceae"	"g__Coccomyxa"	"s__solorinae-saccatae"
"ASV_242"	"k__Bacteria"	"p__Tenericutes"	"c__Mollicutes"	"o__Entomoplasmatales"	NA	NA	NA
"ASV_243"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	"g__Anomodon"	"s__rugelii"
"ASV_244"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__zeae"
"ASV_245"	"k__Bacteria"	"p__Firmicutes"	"c__Erysipelotrichi"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__[Eubacterium]"	"s__dolichum"
"ASV_246"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	NA	NA
"ASV_247"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__perfringens"
"ASV_248"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Rhizobium"	NA
"ASV_249"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylocystaceae"	NA	NA
"ASV_250"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__Acinetobacter"	"s__rhizosphaerae"
"ASV_251"	"k__Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_252"	"k__Bacteria"	"p__Synergistetes"	"c__Synergistia"	"o__Synergistales"	"f__Dethiosulfovibrionaceae"	"g__TG5"	NA
"ASV_253"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	NA
"ASV_254"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae"	"g__Bacillus"	"s__cereus"
"ASV_255"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Ruminococcaceae"	"g__Oscillospira"	NA
"ASV_256"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	NA
"ASV_257"	"k__Bacteria"	"p__Fusobacteria"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium"	NA
"ASV_258"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	NA
"ASV_259"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__ovatus"
"ASV_260"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__kroppenstedtii"
"ASV_261"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__[Ruminococcus]"	NA
"ASV_262"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_263"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Chlorophyta"	NA	NA	NA
"ASV_264"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	NA	NA	NA
"ASV_265"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	NA	NA
"ASV_266"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__Rathayibacter"	NA
"ASV_267"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	NA	NA	NA
"ASV_268"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Carnobacteriaceae"	NA	NA
"ASV_269"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	NA	NA
"ASV_270"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	NA	NA
"ASV_271"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	NA
"ASV_272"	"k__Bacteria"	"p__Fusobacteria"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium"	NA
"ASV_273"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Mycobacteriaceae"	"g__Mycobacterium"	NA
"ASV_274"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Acidobacteriaceae"	NA	NA
"ASV_275"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__Conexibacteraceae"	"g__Conexibacter"	NA
"ASV_276"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	NA	NA
"ASV_277"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Veillonellaceae"	NA	NA
"ASV_278"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Paenibacillaceae"	"g__Paenibacillus"	NA
"ASV_279"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_280"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_281"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	NA	NA
"ASV_282"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_283"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_284"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	NA	NA	NA
"ASV_285"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	NA	NA	NA
"ASV_286"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	"g__Rickettsiella"	NA
"ASV_287"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__SMB53"	NA
"ASV_288"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Coprococcus"	NA
"ASV_289"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylocystaceae"	NA	NA
"ASV_290"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Xanthobacteraceae"	"g__Labrys"	NA
"ASV_291"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Alcaligenaceae"	"g__Achromobacter"	NA
"ASV_292"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Bartonellaceae"	NA	NA
"ASV_293"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Rhodoplanes"	NA
"ASV_294"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_295"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	NA	NA	NA
"ASV_296"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_297"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Acetobacteraceae"	"g__Acidisoma"	NA
"ASV_298"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_299"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Streptomycetaceae"	NA	NA
"ASV_300"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Ruminococcaceae"	"g__Ruminococcus"	NA
"ASV_301"	"k__Bacteria"	"p__Proteobacteria"	"c__Epsilonproteobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter"	NA
"ASV_302"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	NA	NA	NA
"ASV_303"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylocystaceae"	NA	NA
"ASV_304"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__Patulibacteraceae"	NA	NA
"ASV_305"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_306"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	NA
"ASV_307"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_308"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_309"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_310"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Streptophyta"	NA	NA	NA
"ASV_311"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	NA
"ASV_312"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_313"	"k__Bacteria"	"p__WPS-2"	NA	NA	NA	NA	NA
"ASV_314"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	"g__Rickettsiella"	NA
"ASV_315"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__Conexibacteraceae"	"g__Conexibacter"	NA
"ASV_316"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Peptostreptococcaceae"	"g__Clostridium"	"s__venationis"
"ASV_317"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	"g__Serratia"	NA
"ASV_318"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Dermacoccaceae"	"g__Dermacoccus"	NA
"ASV_319"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_320"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Acidobacteriaceae"	"g__Edaphobacter"	NA
"ASV_321"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_322"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__butyricum"
"ASV_323"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Gemmatales"	"f__Isosphaeraceae"	NA	NA
"ASV_324"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Paenibacillaceae"	"g__Paenibacillus"	NA
"ASV_325"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_326"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Acetobacteraceae"	"g__Acidocella"	NA
"ASV_327"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Paenibacillaceae"	"g__Paenibacillus"	NA
"ASV_328"	"k__Bacteria"	"p__Firmicutes"	"c__Erysipelotrichi"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	NA	NA
"ASV_329"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Rhodoplanes"	NA
"ASV_330"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Paenibacillaceae"	"g__Paenibacillus"	NA
"ASV_331"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__perfringens"
"ASV_332"	"k__Bacteria"	"p__Synergistetes"	"c__Synergistia"	"o__Synergistales"	"f__Dethiosulfovibrionaceae"	"g__TG5"	NA
"ASV_333"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Legionellaceae"	"g__Legionella"	NA
"ASV_334"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Tsukamurellaceae"	"g__Tsukamurella"	NA
"ASV_335"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	NA	NA
"ASV_336"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Xanthomonadaceae"	"g__Stenotrophomonas"	NA
"ASV_337"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	NA	NA	NA
"ASV_338"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__Conexibacteraceae"	"g__Conexibacter"	NA
"ASV_339"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_340"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Chlorophyta"	NA	NA	NA
"ASV_341"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__neonatale"
"ASV_342"	"k__Bacteria"	"p__Tenericutes"	"c__Mollicutes"	"o__Entomoplasmatales"	NA	NA	NA
"ASV_343"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Peptostreptococcaceae"	NA	NA
"ASV_344"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_345"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__minor"
"ASV_346"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__Conexibacteraceae"	"g__Conexibacter"	NA
"ASV_347"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_348"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_349"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylocystaceae"	NA	NA
